Kabupaten/Kota,Umur Harapan Hidup (tahun),Harapan Lama Sekolah (tahun),Rata-Rata Lama Sekolah (tahun),Pengeluaran Per Kapita (ribu rupiah),IPM,IPM Class
Kota Palopo,74,15.12,11.13,13892,80.77,sangat tinggi
Buton,70.36,13.88,8.49,7995,68.96,sedang
Munal,71.56,14.02,8.53,8703,70.62,tinggi
Konawe,72.78,13.04,9.56,10963,73.88,tinggi
Kolaka,73.54,13.03,9.35,13055,75.73,tinggi
Konawe Selatan,71.72,12.78,8.51,9753,70.64,tinggi
Bombana,70.88,11.9,8.07,9132,68.12,sedang
Wakatobi,70.76,13.52,8.51,1024,71.45,tinggi
Kolaka Utara,70.62,12.17,8.81,1102,71.11,tinggi
Buton Utara,71.36,13.17,9.12,8289,69.85,sedang
Konawe Utara,70.53,13.12,9.6,10113,72.11,tinggi
Kolaka Timur,73.11,12.7,8.4,852,69.61,sedang
Konawe Kepulauan,70.25,12.54,9.45,7564,68.11,sedang
Muna Barat,71.17,12.62,7.86,8076,67.44,sedang
Buton Tengah,70.37,13.2,7.34,8003,66.94,sedang
Buton Selatan,70.14,13.26,7.65,7936,67.19,sedang
Kota Kendari,75.34,16.91,12.53,15116,85.51,sangat tinggi
Kota Baubau,74.53,15.52,11.02,11207,79,tinggi
Boalemo,71.24,12.48,7.3,9941,68.78,sedang
Gorontalo,70.81,13.21,7.79,10336,70.37,tinggi
Pohuwato,69.4,12.46,7.59,11018,69.3,sedang
Bone Bolango,70.19,13.67,8.35,11114,71.97,tinggi
Gorontalo Utara,69.65,12.49,7.17,10037,68,sedang
Kota Gorontalo,73.25,14.58,10.4,13351,78.64,tinggi
Majene,70.06,13.71,9.28,10462,72.44,tinggi
Polewali Mandar,70.82,13.48,7.71,9096,69.24,sedang
Mamasa,72.16,12.54,8.11,8108,68.14,sedang
Mamuju,71.79,13.26,8.16,10075,71.07,tinggi
Pasangkayu,70.09,12.07,8.12,11649,70.42,tinggi
Mamuju Tengah,69.76,12.66,7.73,8821,67.63,sedang
Maluku Tenggara Barat,70.19,12.33,9.91,6722,67.04,sedang
Maluku Tenggara,70.71,12.9,9.79,8174,69.91,sedang
Maluku Tengah,70.83,14.37,9.78,10788,74.34,tinggi
Buru,70.19,13.23,9.01,10879,72.11,tinggi
Kepulauan Aru,70.27,12.36,8.97,8133,68.19,sedang
Seram Bagian Barat,70.88,13.69,9.35,9324,71.68,tinggi
Seram Bagian Timur,68.33,12.91,8.82,1002,69.84,sedang
Maluku Barat Daya,69.3,12.7,8.92,7223,66.71,sedang
Buru Selatan,70.11,12.84,8.23,8108,67.68,sedang
Kota Ambon,72.86,16.07,12.22,14692,82.84,sangat tinggi
Kota Tual,71.32,14.01,10.66,7825,71.67,tinggi
Halmahera Barat,70.46,13.24,8.58,8046,68.56,sedang
Halmahera Tengah,70.19,13.23,9.19,8675,69.95,sedang
Kepulauan Sula,68.54,12.97,9.04,7718,67.49,sedang
Halmahera Selatan,70.25,13.03,8.17,78831,67.55,sedang
Halmahera Utara,71.74,13.68,8.65,8152,69.79,sedang
Halmahera Timur,71.36,12.87,8.66,865,69.48,sedang
Pulau Morotai,70.81,12.99,7.55,7141,65.93,sedang
Pulau Taliabu,67.04,12.87,7.97,6939,64.31,sedang
Kota Ternate,72.55,15.78,12.07,14042,81.79,sangat tinggi
Kota Tidore Kepulauan,72.2,14.48,9.97,9034,73.4,tinggi
Fakfak,71.44,14.78,9.17,7851,70.85,tinggi
Kaimana,68.96,12.5,8.8,8749,68.31,sedang
Teluk Wondama,65.32,11.9,7.27,849,63.84,sedang
Teluk Bintuni,67.75,12.44,8.51,10324,69.01,sedang
Manokwari,72.25,13.78,8.54,12566,74.52,tinggi
Sorong Selatan,67.11,13.28,7.62,6727,63.98,sedang
Sorong,69.88,13.92,8.61,7984,68.89,sedang
Raja Ampat,66.98,12.11,8.24,8483,66,sedang
Tambrauw,65.7,12.36,5.71,5302,57.53,rendah
Maybrat,65.82,13.49,7.32,5669,61.29,sedang
Manokwari Selatan,68.09,12.56,6.96,5948,61.55,sedang
Pegunungan Arfak,67.71,11.79,5.51,5438,57.82,rendah
Kota Sorong,72.83,14.42,11.5,14133,80.11,sangat tinggi
Merauke,71.27,14.47,9.25,10747,74,tinggi
Jayawijaya,69.79,12.84,5.98,8159,64.81,sedang
Jayapura,70.23,14.58,10.32,10671,74.74,tinggi
Nabire,69.82,12.64,10.33,9381,71.36,tinggi
Kepulauan Yapen,70.72,12.81,9.7,8091,69.62,sedang
Biak Numfor,70.75,14.22,10.54,10229,74.45,tinggi
Paniai,69.49,10.53,4.79,6977,58.83,rendah
Puncak Jaya,67.77,7.51,4.23,5731,51.49,rendah
Mimika,72.83,12.96,10.47,12076,75.91,tinggi
Boven Digoel,68.9,11.43,9.25,8396,67.32,sedang
Mappi,66.23,11.04,6.95,6821,60.71,sedang
Asmat,67.84,9.7,5.58,6057,56.85,rendah
Yahukimo,66.42,8.04,4.34,5351,51.19,rendah
Pegunungan Bintang,65.93,6.78,3.37,5849,48.51,rendah
Tolikara,67.03,9.02,3.68,5397,51.74,rendah
Sarmi,69.68,12.33,9.36,7204,67,sedang
Keerom,69.73,12.46,8.57,9545,69.25,sedang
Waropen,69.54,12.84,9.41,7335,67.67,sedang
Supiori,69.37,13.19,9.2,6259,65.84,sedang
Mamberamo Raya,68.75,11.83,6.28,5105,58.49,rendah
Nduga,63.88,4.33,1.71,4352,37.68,rendah
Lanny Jaya,67.19,9.27,3.71,4751,50.81,rendah
Mamberamo Tengah,68.93,9.62,3.63,4855,51.98,rendah
Yalimo,65.95,9.66,3.34,5015,50.87,rendah
Puncak,66.77,5.59,2.19,5975,44.71,rendah
Dogiyai,66.49,10.62,4.97,6182,56.74,rendah
Intan Jaya,66.68,7.69,3.27,614,50.39,rendah
Deiyai,66.52,9.85,3.27,5104,51.4,rendah
Kota Jayapura,71.76,15.26,11.84,15272,81.51,sangat tinggi
